"group","person","url"
"1.5 КГ","АЛЕКСЕЙ КУЗНЕЦОВ",""
"1.5 КГ","ДМИТРИЙ ГАНЖА",""
"1.5 КГ","ВЯЧЕСЛАВ ФИЛИППОВ",""
"1.5 КГ","АЛЕКСЕЙ СОЛОВЬЕВ",""
"1.5 КГ","АЛЕКСАНДР ЩЕГЛОВ",""
"1.5 КГ","КИРИЛЛ ПАВЛОВСКИЙ",""
"1.5 КГ","КУЛАКОВ, ЕВГЕНИЙ ВЛАДИМИРОВИЧ",""
"10-6","JAANUS SAKS","https://et.wikipedia.org/wiki/Jaanus_Saks"
"10-6","HENRY KÕRVITS",""
"10-6","GRAND CITY PELGU KINGS",""
"10-6","RAINER OLBRI","https://et.wikipedia.org/wiki/Rainer_Olbri"
"100 DEBIJA","MODRIS SKAISTKALNS","https://lv.wikipedia.org/wiki/Modris_Skaistkalns"
"100 DEBIJA","AGRIS SEMĒVICS",""
"100PRO FAMILY","МАСТЕР ШЕFF",""
"103RD","VERITAS PROPHET",""
"12 ВОЛЬТ","ПИВТОРЫПАВЛО, ВИКТОР ВИКТОРОВИЧ",""
"15 MEGATONES","АНДРЕЙ ХАБОНЕН",""
"16 HZ","ROBERTAS JUCEVIČIUS","https://lt.wikipedia.org/wiki/Robertas_Jucevi%C4%8Dius"
"16 HZ","SKAIDRIUS VARSLAUSKAS",""
"16 HZ","PETRAS JUCEVIČIUS",""
"17 ПИЛОТОВ В ОГНЕ","ЛЕВИН, ЕВГЕНИЙ ПЕТРОВИЧ",""
"2 QUICK START","JÜRI MAZURCAK",""
"2 QUICK START","ILMAR LAISAAR",""
"2 QUICK START","URMAS KAHK",""
"2 QUICK START","ALAR KOTKAS",""
"2 QUICK START","PEARU PAULUS",""
"2+2","АЛЕКСАНДР АЛЕКСАНДРОВИЧ БРЕСЛАВСКИЙ",""
"23:45","АННА КЛИМОВА",""
"23:45","ASHLEY",""
"23:45","ЛОЯ",""
"23:45","АННА КИРИЛЛОВА",""
"23:45","ГРИГОРИЙ БОГАЧЕВ",""
"23:45","ГЕОРГИЙ ЮХАНОВ",""
"23:45","АННА БОРОНИНА",""
"24 ЧАСА","МИХАИЛ ПОЗДЕЕВ",""
"25/17","АНДРЕЙ ПОЗДНУХОВ",""
"25/17","БЛЕДНЫЙ","https://ru.wikipedia.org/wiki/%D0%91%D0%BB%D0%B5%D0%B4%D0%BD%D1%8B%D0%B9_(%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B0%D0%BD%D1%82)"
"25/17","БОГДАН СОЛОДОВНИК",""
"25/17","РУСТАВЕЛИ",""
"25/17","JEEEP",""
"25/17","АНТ","https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D1%82_(%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B0%D0%BD%D1%82)"
"25/17","АНТОН ЗАВЬЯЛОВ",""
"25/17","ТАМАРА СЕРГЕЕВА",""
"25/17","A-NIK",""
"25/17","ИЛЬЯ КУЗНЕЦОВ",""
"25/17","ПАВЕЛ ЧЕРНОГОРОДОВ",""
"25/17","ТОМА АМОТ","https://ru.wikipedia.org/wiki/%D0%A2%D0%BE%D0%BC%D0%B0_%D0%90%D0%BC%D0%BE%D1%82"
"25/17","РУСТАМ МУНАСИПОВ",""
"25/17","ТАРАС АНДРЕЕВ",""
"25/17","МАКСИМ СОКОЛОВ",""
"2H COMPANY","МИХАИЛ ФЕНИЧЕВ",""
"2H COMPANY","ИЛЬЯ БАРАМИЯ",""
"2H COMPANY","АЛЕКСАНДР ЗАЙЦЕВ",""
"2H COMPANY","МИХАИЛ ИЛЬИН",""
"2XBBM","JURIS RADIONOVS",""
"2XBBM","ANDRIS LIGERS",""
"2XBBM","EDUARDS BUTKĒVIČS",""
"2XBBM","EGILS PUTNIŅŠ",""
"2XBBM","JĀNIS PREISS",""
"2XBBM","IMANTS KALNIŅŠ","https://lv.wikipedia.org/wiki/Imants_Kalni%C5%86%C5%A1"
"2XBBM","ANDRIS KRŪZIŅŠ",""
"2XL","ВЛАДИ",""
"2А9","ЗАЕВ, АЛЕКСЕЙ АНАТОЛЬЕВИЧ",""
"2ВА САМОЛЕТА","МИХАИЛ СИНДАЛОВСКИЙ",""
"2ВА САМОЛЕТА","ВЛАДИМИР ТИТОВ",""
"2ВА САМОЛЕТА","АНДРЕЙ ГРАДОВИЧ",""
"2ВА САМОЛЕТА","АЛЕКСЕЙ ЛАЗОВСКИЙ",""
"2ВА САМОЛЕТА","АЛЕКСЕЙ КАНЕВ",""
"2ВА САМОЛЕТА","АНДРЕЙ КОГАН",""
"2ВА САМОЛЕТА","АЛЕКСАНДР ШВАНЕВ",""
"2ВА САМОЛЕТА","ВАДИМ ПОКРОВСКИЙ",""
"2ВА САМОЛЕТА","ИЛЬЯ ПОТАПОВ",""
"2ВА САМОЛЕТА","СОЛОГУБ, ГРИГОРИЙ ГРИГОРЬЕВИЧ",""
"2ВА САМОЛЕТА","АНТОН БЕЛЯНКИН",""
"2ВА САМОЛЕТА","АРМЕН ЧИКУНОВ",""
"2ВА САМОЛЕТА","ДЕНИС МЕДВЕДЕВ",""
"2ВА САМОЛЕТА","СЕРГЕЙ КУЛАКОВ",""
"2Г5Р1О7Т","БЛЕДНЫЙ",""
"3+2","НIНЭЛЬ КАРПОВIЧ",""
"3+2","ЮЛIЯ ШЫШКО",""
"3+2","АРЦЕМ МIХАЛЕНКА",""
"3+2","ЯГIАЗАР ФАРАШЯН",""
"3+2","АЛЕНА КАРПОВIЧ",""
"3+2","ЕГИАЗАР ФАРАШЯН",""
"3+2","АРТЕМ МИХАЛЕНКО",""
"3+2","ЮЛИЯ ШИШКО",""
"3+2","НИНЕЛЬ КАРПОВИЧ",""
"3+2","АЛЕНА КАРПОВИЧ",""
"33","КОСТЯ «РЕКЛЕС»",""
"3:15","СТЬОГАНОВ ОЛЕКСАНДР ЄВГЕНОВИЧ",""
"3G","AL’VIRIUS",""
"3T.ON","АЛЯКСАНДАР КЛIМКОЎ",""
"3T.ON","УЛАДЗIМЕР ЛБОЎ",""
"3T.ON","ПАВАЛ ЦЮХЦЯЕЎ",""
"3T.ON","АЛЯКСЕЙ КАГАЙ",""
"3T.ON","ВАСIЛЬ БУЛАНАЎ",""
"3T.ON","МАКСIМ РЫБАКОЎ",""
"3T.ON","МАКСIМ КАЧАЕЎ",""
"3‘ АНГЕЛ","ГРИГОРЯН, АРМЕН СЕРГЕЕВИЧ",""
"4-ATĀ","AIGARS GRĀVERS",""
"4/33","АРКАДИЙ МАРТО",""
"43 ГРАДУСА","ДМИТРИЙ ДЕНЬЩИКОВ",""
"43 ГРАДУСА","5ПЛЮХ","https://ru.wikipedia.org/wiki/5%D0%9F%D0%BB%D1%8E%D1%85"
"43 ГРАДУСА","KOTZILLA",""
"43 ГРАДУСА","ФАНТОМАС 2000",""
"43 ГРАДУСА","ALEX DEE",""
"4BIA","ОЛЕГ СЕВЕРИНОВ",""
"4BIA","АНТОН ПАВЛИКОВ",""
"4BIA","АЛЕКСЕЙ КУТУКОВ",""
"4BIA","ПАВЕЛ ЧЕЧИКОВ",""
"4FUN","RIMANTAS JASENKA",""
"4FUN","JULIJA RITČIK",""
"4FUN","JUSTAS JASENKA",""
"4FUN","ANDŽEJ ZUJEVIČ",""
"4FUN","LAIMONAS STANIULIONIS",""
"4POST","БИКБАЕВ, ДМИТРИЙ АМИРИЗОВИЧ",""
"4POST","ИЛЬЯ ЗЕЛЕНОВ",""
"4POST","АЛЕКСАНДР МИХАЛЕВ",""
"4POST","ДМИТРИЙ ПЕРШИН",""
"4POST","ДМИТРИЙ КЛЕЙМАН",""
"4POST","КИРИЛЛ ФЕДОРОВ",""
"4POST","ШАМИЛЬ АХМЕТЖАНОВ",""
"4POST","БОРИС АКИМОВ",""
"4POST","ЕВГЕНИЙ ПРОКОПЕНКО",""
"4ЕРВОНАРУТТА","АНДРЕЙ ШАБАЕВ",""
"4ЕХОВ","АЛЕКСЕЙ ЮШКЕВИЧ",""
"4ЕХОВ","ПАВЕЛ ЕВЛАХОВ",""
"4ЕХОВ","ЕВГЕНИЙ РИНКЕВИЧ",""
"4ЕХОВ","АЛЕКСАНДР МОНРО",""
"4ЕХОВ","БОРИС ИСТОМИН",""
"4ЕХОВ","ДМИТРИЙ ЛОСЕВ",""
"5 VYMIR","ВАДИМ ЛАЗАРЕВ",""
"5 VYMIR","КОСТЯНТИН ПОЧТАР",""
"5 VYMIR","РОМАН ГАРКАВЕНКО",""
"5 VYMIR","СЕМЕН ТЕРЕЩЕНКО",""
"5'NIZZA","ЗАПОРОЖЕЦЬ АНДРIЙ ОЛЕКСАНДРОВИЧ","https://uk.wikipedia.org/wiki/%D0%97%D0%B0%D0%BF%D0%BE%D1%80%D0%BE%D0%B6%D0%B5%D1%86%D1%8C_%D0%90%D0%BD%D0%B4%D1%80%D1%96%D0%B9_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
"5'NIZZA","БАБКIН СЕРГIЙ МИКОЛАЙОВИЧ",""
"5-TH AVENUE SWING ORCHESTRA","ЛЕВКИН, ИГОРЬ ИВАНОВИЧ",""
"5001","ЖАРИКОВ, СЕРГЕЙ АЛЕКСЕЕВИЧ",""
"5DIEZ","ЕГОР БРУС",""
"5DIEZ","ВИКТОР АВСАРАГОВ",""
"5DIEZ","КОНСТАНТИН ПОЗНЕКОВ",""
"5DIEZ","ЕВГЕНИЙ БЕЛОУСОВ",""
"5DIEZ","СЕРГЕЙ ПОЛЯНСКИЙ",""
"5DIEZ","ГРИГОРИЙ КАРПОВ",""
"5DIEZ","АЛЕКСЕЙ ФЕДЯЕВ",""
"5DIEZ","АННА КИРИЛЛОВА",""
"5DIEZ","СТАНИСЛАВА МАТВЕЕВА",""
"5DIEZ","МАКСИМ ЛУКЬЯНОВ",""
"5DIEZ","НИКОЛАЙ ВАСИЛЬЕВ",""
"5DIEZ","РОМАН КОСТЫЧУК",""
"5STA FAMILY","ВАЛЕРИЙ ЕФРЕМОВ",""
"5STA FAMILY","ЮЛИАННА КАРАУЛОВА",""
"5STA FAMILY","ВАСИЛИЙ КОСИНСКИЙ",""
"5STA FAMILY","ЛОЯ","https://ru.wikipedia.org/wiki/%D0%9B%D0%BE%D1%8F_(%D0%BF%D0%B5%D0%B2%D0%B8%D1%86%D0%B0)"
"5STA FAMILY","АНТОН РАДАЕВ",""
"5STA FAMILY","КОЗЛОВА, ВАЛЕРИЯ СЕРГЕЕВНА","https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%B7%D0%BB%D0%BE%D0%B2%D0%B0,_%D0%92%D0%B0%D0%BB%D0%B5%D1%80%D0%B8%D1%8F_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%BD%D0%B0"
"69 DANGUJE","GODA SABUTYTĖ",""
"69 DANGUJE","INGRIDA MARTINKĖNAITĖ",""
"69 DANGUJE","NIJOLĖ PAREIGYTĖ","https://lt.wikipedia.org/wiki/Nijol%C4%97_Pareigyt%C4%97"
"69 DANGUJE","KARINA KRYSKO","https://lt.wikipedia.org/wiki/Karina_Krysko"
"69Б","МИХАИЛ ТРУХАНОВ",""
"69Б","ПАВЕЛ ТРИФОНОВ",""
"7000$","РОМАН ДОКУКИН",""
"7000$","АЛЕКСАНДР ГУРЕНКО",""
"7000$","СТАНИСЛАВ ВЛАСОВ",""
"7000$","АЛЕКСЕЙ КУЗНЕЦОВ",""
"7000$","КОРЧАГИН",""
"7000$","МИХАИЛ БЕКЕТОВ",""
"7000$","МАКС АЛЕКСЕЕВ",""
"7000$","АЛЬБЕРТ РОДИН",""
"7000$","ИВАН ИГНАТОВ",""
"7000$","ЮРИЙ БАЛАНОВ",""
"7000$","ДМИТРИЙ КРУПИН",""
"7000$","ИВАН КУЗНЕЦОВ",""
"777","СКЛЯР, АЛЕКСАНДР ФЕЛИКСОВИЧ",""
"777","AVO ULVIK",""
"777","TÕNIS MÄGI",""
"777","ШУМОВ, ВАСИЛИЙ ГЕРАРДОВИЧ",""
"7Б","ИГОРЬ ЧЕРНЫШЕВ",""
"7Б","МИХАИЛ МИТРОФАНОВ",""
"7Б","СТАНИСЛАВ ЦЫБУЛЬСКИЙ",""
"7Б","ДЕМЬЯН, ИВАН КОНСТАНТИНОВИЧ","https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D0%BC%D1%8C%D1%8F%D0%BD,_%D0%98%D0%B2%D0%B0%D0%BD_%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
"7Б","АНДРЕЙ ПРОСВЕТОВ",""
"7Б","АНДРЕЙ КАТАЛКИН",""
"7Б","ПЕТР ЛОСЕВ",""
"7Б","АНДРЕЙ БЕЛОВ",""
"9-Й РАЙОН","АЛЕКСАНДР ШЕВКУН",""
"9-Й РАЙОН","ЕВГЕНИЙ КУЧУМОВ",""
"9-Й РАЙОН","ОЛЬГА ЧАНЧИНА",""
"9-Й РАЙОН","ЕВГЕНИЙ ЕРМИШИН",""
"9-Й РАЙОН","СТАНИСЛАВ МИЩЕНКО",""
"9-Й РАЙОН","АЛЕКСЕЙ НИКИТИН",""
"9-Й РАЙОН","ДМИТРИЙ СЕМИКОЛЕННЫХ",""
"9-Й РАЙОН","АЛЕКСЕЙ БУРИН",""
"9-Й РАЙОН","РАДИК ВАЛЕТОВ",""
"9-Й РАЙОН","МАКСИМ ГОЛУБЕНКО",""
"9-Й РАЙОН","ИГОРЬ АЛЕХИН",""
"9-Й РАЙОН","ЕВГЕНИЙ ПОПОВ",""
"9-Й РАЙОН","ОЛЕГ СТАРИКОВ",""
"9-Й РАЙОН","ВИТАЛИЙ АКМУРЗИН",""
"9-Й РАЙОН","ВИТАЛИЙ СМИРНОВ",""
"99 %","ЧУМЫЧКИН, ИГОРЬ ВАСИЛЬЕВИЧ",""
"999","САШКО МЕЛЬНИК",""
"999","IГОР ТОЛОХА",""
"999","ГЛIБ ТОЛСТОЙ",""
"999","ОЛЕКСIЙ БУГЛАК",""
"999","ЄВГЕН ТАРНАВСЬКИЙ",""
"999","СЕРГIЙ МАЛАНЧУК",""
"999","ДIМА СОКОЛОВСЬКИЙ",""
"999","ОЛЕКСАНДР ВЄДЄНIН",""
"999","ЮРIЙ ЧУБ",""
"999","ВIКТОР РИЖИЙ",""
"999","ЛЕСЯ ГЕРАСИМЧУК",""
"999","ГЕНАДIЙ ВЕРБ'ЯНИЙ",""
"999","ОЛЕГ СКIПЧАК",""
"999","ОЛЕНА РОМАНОВСЬКА",""
"999","АНДРIЙ ВОЙТЮК","https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D1%96%D0%B9_%D0%92%D0%BE%D0%B9%D1%82%D1%8E%D0%BA"
"999","АНДРIЙ СТЄПАНОВ",""
":B:N:","АЛЕСЬ ЗАЙЦАЎ",""
":B:N:","МАКСИМ ЛИТВИНЕЦ",""
":B:N:","АЛЕСЬ ЗАЙЦЕВ",""
":B:N:","РАМУАЛЬД ПАЗНЯК",""
":B:N:","ЮРАСЬ БАРДОЎСКI",""
":B:N:","ЗМIЦЕР ХАРЫТАНОВIЧ",""
":B:N:","АЛЕСЬ СIЛIЦКI",""
":B:N:","СЯРГЕЙ МАШКОВIЧ",""
":B:N:","АЛЕСЬ ЛЮТЫЧ",""
":B:N:","АЛЕСЬ СИЛИЦКИЙ",""
":B:N:","САМУСИК, ОЛЬГА ЭДУАРДОВНА",""
":B:N:","МАКСIМ ЛIТВIНЕЦ",""
":B:N:","СЕРГЕЙ МОШКОВИЧ",""
":B:N:","РОМУАЛЬД ПОЗНЯК",""
":B:N:","МАКСIМ ШОЛАХАЎ",""
"@TRAKTOR/АТТРАКТОР","ПIПА ОЛЕКСАНДР ВIКТОРОВИЧ",""
"@TRAKTOR/АТТРАКТОР","SCADY",""
"A-DESSA","КОСТЮШКИН, СТАНИСЛАВ МИХАЙЛОВИЧ",""
"A-EUROPA","АРТУР ДУБОК",""
"A-EUROPA","ЕКАТЕРИНА СОБОЛЕВА",""
"A-EUROPA","JEKATERINA SOBOĻEVA",""
"A-EUROPA","INNA TIUKELLI",""
"A-EUROPA","SOLVITA AVAKJANA",""
"A-EUROPA","JĀNIS LAMSTERS",""
"A-EUROPA","ARTŪRS DUBOKS",""
"A-RÜHM","COOL D","https://et.wikipedia.org/wiki/DJ_Critikal"
"A-RÜHM","KAAREL KOSE",""
"A-RÜHM","KOZY",""
"A-RÜHM","PRIIT KOLSAR","https://et.wikipedia.org/wiki/Priit_Kolsar"
"A-RÜHM","G-ENKA",""
"A-RÜHM","REVO JÕGISALU",""
"A-RÜHM","DJ CRITIKAL",""
"AAK & OJA","AIVAR OJA",""
"AAK & OJA","ANGELA AAK",""
"AARZEMNIEKI","JORANS ŠTEINHAUERS",""
"AARZEMNIEKI","KATRĪNA DIMANTA",""
"AARZEMNIEKI","RAITIS VIĻUMOVS",""
"AARZEMNIEKI","NIKS MASEJS",""
"AARZEMNIEKI","GUNTIS VEILANDS",""
"AATOMITRIIKRAUD","JAANUS NÕGISTO",""
"AATOMITRIIKRAUD","INDREK PATTE",""
"AATRIUM","IGOR GARŠNEK",""
"ABIGAIL","TARVO KASPAR TOOME",""
"ABSENTH","ОЛЕГ ГОВОРОВ",""
"ABSENTH","НИКОЛАЙ СОШНИКОВ",""
"ABSENTH","АНДРЕЙ БОЛОТОВ",""
"ABSENTH","ГЕННАДИЙ ТЮРИН",""
"ABSENTH","ВЛАДИМИР УСАЦКИЙ",""
"ABSENTH","ДМИТРИЙ АБРАМОВ",""
"ABSENTH","АЛЕКСЕЙ ИГНАТОВ",""
"ABSENTH","СЕРГЕЙ ДУХАНИН",""
"ABSENTH","ВЛАДИМИР ЛИХАЦКИЙ",""
"ABSENTH","ДМИТРИЙ ШУРЫГИН",""
"ABSENTH","КОНСТАНТИН ДЭТ",""
"ABSENTH","МАРИНА ЦЕВЕЛЕВА",""
"ABSENTH","АННА ТАМБОВЦЕВА",""
"ABSENTH","ДМИТРИЙ ПАЛЬЦЕВ",""
"ABSENTH","ДМИТРИЙ ГРИНЕНКОВ",""
"ABSENTH","МИХАИЛ РАЗДЫМАЛИН",""
"ABSENTH","ВЛАДИМИР МИРОНЧЕНКО",""
"ABSENTH","ИЛЬЯ САВЕЛЬЕВ",""
"ABSENTH","ПЕТР ПЕНСКОЙ",""
"ABSOLUTE TERROR","ЛЕВ НЕГОДЯЕВ",""
"ABYSSPHERE","АЛЕКСАНДР ЧАЙКА",""
"ABYSSPHERE","КИРИЛЛ СВИРИДЕНКО",""
"ABYSSPHERE","АНТОН ИВАНОВ",""
"ABYSSPHERE","МАКСИМ ГУЛЬЧУК",""
"ABYSSPHERE","ДАРЬЯ МИЩЕНКО",""
"ABYSSPHERE","ОЛЕГ САРАЕВ",""
"ABYSSPHERE","ЕВГЕНИЙ ЛАВРОВ",""
"ABYSSPHERE","АНАСТАСИЯ ЖИГАЧ",""
"ABYSSPHERE","ЕВГЕНИЙ НОСОВ",""
"ABYSSPHERE","ИВАН ПРОКОПОВИЧ",""
"ABYSSPHERE","АЛЕКСАНДР ЯКОВЛЕВ «S.AT»",""
"ABYSSPHERE","КОНСТАНТИН ЦЫГАНКОВ",""
"ABYSSPHERE","МИХАИЛ ПОПИКОВ",""
"ABYSSPHERE","АЛЕКСАНДР МИХАЙЛОВ",""
"ACLONEOFMYOWN","ОЛЕКСАНДР СТРАТОНОВ",""
"ACLONEOFMYOWN","ДМИТРО СИНЕВИЧ",""
"ACLONEOFMYOWN","ВIТАЛIЙ МИХАЙЛОВ",""
"ACLONEOFMYOWN","МИКОЛА ВЕРБОВСЬКИЙ",""
"ACLONEOFMYOWN","НАЗАР ВОДОЛЄЙ",""
"ACLONEOFMYOWN","СЕРГIЙ МИРОНЧУК",""
"ACLONEOFMYOWN","ДМИТРО ХИТРИЙ",""
"ACLONEOFMYOWN","ВОЛОДИМИР ЗАХАРОВ",""
"ACOUSTIC SWING BAND","ХЛИВНЮК АНДРIЙ ВОЛОДИМИРОВИЧ",""
"ACROPOLIS","АНТОН МАРЧУК",""
"AD ASTRA","ИЗОТОВ, ИВАН ВЛАДИМИРОВИЧ",""
"AD ASTRA","АЛЕКСАНДР КАРЕЛИН",""
"AD ASTRA","АНТОН ЛИССОВ",""
"AD ASTRA","АРТЕМ ЛОЦКИХ",""
"AD ASTRA","МАКСИМ КАМЕНЩИКОВ",""
"AD LIBITUM (EBURG)","СТЕПАН МАРТИРОСОВ",""
"AD LIBITUM (EBURG)","ХОМЕНКО, АЛЕКСЕЙ ПАВЛОВИЧ",""
"AD LIBITUM (EBURG)","АНДРЕЙ ЛАЗАРЕВ",""
"AD LIBITUM (EBURG)","КОТОВ, АНДРЕЙ НИКОЛАЕВИЧ",""
"AD LIBITUM (EBURG)","АЛЕКСАНДР КОЗЛОВ",""
"AD LIBITUM (EBURG)","ВИКТОР ТЕЛЬМИНОВ",""
"AD LIBITUM (SPB)","ЮЛИЯ КЕРЫШЕВА",""
"AD LIBITUM (SPB)","АЛЕКСЕЙ МАКОВЕЙ",""
"AD LIBITUM (SPB)","ПЕТР АФАНАСЬЕВ",""
"AD LIBITUM (SPB)","ДМИТРИЙ ДИКОВ",""
"AD LIBITUM (SPB)","СЕРГЕЙ КОЛОБОВ",""
"AD LIBITUM (SPB)","ЕВГЕНИЙ БОБРОВ",""
"AD LIBITUM (SPB)","МАРИЯ БЕССОНОВА",""
"AD LIBITUM (SPB)","СЕРГЕЙ ВАСИЛЕНКО",""
"AD LIBITUM (SPB)","КОНСТАНТИН НАЙМАРК",""
"AD LIBITUM (SPB)","МАКСИМ ЖУПИКОВ",""
"AD LIBITUM (SPB)","АЛЕКСАНДР СНЕГИРЕВ",""
"AD LIBITUM (SPB)","ВЛАДИМИР ГЕРАСИМЕНКО",""
"AD LIBITUM (SPB)","АРКАДИЙ ЦЫПКИН",""
"AD LIBITUM (SPB)","ДМИТРИЙ МАСЛОВ",""
"AD LIBITUM (SPB)","ЮРИЙ ИВАЩЕНКО",""
"AD LIBITUM (SPB)","МАТЕЗИУС, АНТОН ЮРЬЕВИЧ","https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D1%82%D0%B5%D0%B7%D0%B8%D1%83%D1%81,_%D0%90%D0%BD%D1%82%D0%BE%D0%BD_%D0%AE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
"AD LIBITUM (SPB)","ВЛАДИМИР ЛОКТИН",""
"AD LIBITUM (SPB)","АННА ИНШУТИНА",""
"AD LIBITUM (SPB)","АНДРЕЙ ВЕДЕРНИКОВ",""
"AD LIBITUM (SPB)","РЕНАТА РОМАНОВА",""
"AD LIBITUM (SPB)","РЕНАТА РОМАНОВА",""
"AD LIBITUM (SPB)","МАРГАРИТА ШИХОВА",""
"AD LIBITUM (SPB)","ВОРОПАЕВ, ИВАН ДАНИЛОВИЧ",""
"AD LIBITUM (SPB)","ИННОКЕНТИЙ ШИЛЯЕВ",""
"AD LIBITUM (SPB)","АННА НИКОЛАЕВА",""
"ADEPT","ВОЛОДИМИР СIРЕНКО",""
"ADMIRAAL","VERITAS PROPHET",""
"ADMIRAL","KUSTAS KIKERPUU",""
"ADMIRAL","IVO VARTS",""
"ADOLF CASTLE","ЮРИЙ ЛАХМЕТКИН",""
"ADOLF CASTLE","ВЛАДИМИР НЕЧАЕВ",""
"ADOLF CASTLE","ВЯЧЕСЛАВ ФЕДИН",""
"ADOLF CASTLE","КИРИЛЛ ЗАЙЦЕВ",""
"ADOLF CASTLE","АЛЕКСАНДР МЕДОВКИН",""
"ADOLF CASTLE","ДМИТРИЙ МОНАХОВ",""
"ADOLF CASTLE","ДАНИЛА ЗАХАРЕНКОВ",""
"ADOLF CASTLE","АНДРЕЙ ФЕДОРЕНКО",""
"AERO SKWADRA","ЛИГАЛАЙЗ",""
"AETERNUS PROPHET","VERITAS PROPHET","https://uk.wikipedia.org/wiki/Veritas_Prophet"
"AETERNUS PROPHET","OBERON PROPHET","https://uk.wikipedia.org/wiki/Oberon_Prophet"
"AETERNUS PROPHET","DESSIDENT PROPHET","https://uk.wikipedia.org/wiki/Dessident_Prophet"
"AETERNUS PROPHET","OBERON PROPHET","https://uk.wikipedia.org/wiki/Oberon_Prophet"
"AFIŠA","JONAS TAKAREVIČIUS",""
"AGA ME","КИРИЛЛ БОГДАНОВ",""
"AGA ME","АНДРЕЙ СОТНИКОВ",""
"AGA ME","АЛЕКСЕЙ ГАЛАНОВ",""
"AGE OF STONES","KASPARS UŠKĀNS",""
"AGE OF STONES","NIKS JAUNZEMS",""
"AGE OF STONES","VALTS JAKUBOVIČS",""
"AGE OF STONES","JURĢIS PRIEDĪTIS",""
"AGE OF STONES","ARTIS ĀBELE",""
"AGE OF STONES","MAREKS ETMANIS",""
"AGE OF STONES","JĀNIS MINCIS",""
"AGENT M","ANDRES ARU",""
"AGENT M","MIHKEL KUPITS",""
"AGENT M","MARGUS TAMMELA",""
"AGENT M","MÄRTEN RODES",""
"AGENT M","TAAGO PIISANG",""
"AGENT M","REIMO VA",""
"AGENT M","IVAN KORSHUNOV",""
"AGENT M","ANDRUS KANTER",""
"AGENT M","MARTEN VILL","https://et.wikipedia.org/wiki/Marten_Vill"
"AGENT M","JARMO NUUTRE",""
"AGENT M","MERILI VARIK",""
"AGENT M","REILIKA SAKS",""
"AGENT M","ИВАН КОРШУНОВ",""
"AIDES","КОСТЯ ЦЫБУЛЕВСКИЙ",""
"AIDES","MIKK SIMSON",""
"AIDES","TAAVI PAOMETS",""
"AIDES","KOSTJA TSÕBULEVSKI",""
"AIDES","JOHANNA MÄNGEL",""
"AIDES","KASPAR KALLUSTE",""
"AINUS SEADUS","TAAVI METS",""
"AINUS SEADUS","TOOMAS VIHMANN",""
"AINUS SEADUS","PRIIT JÜRGENS",""
"AINUS SEADUS","PRIIT PERV",""
"AION-6","ВАСИЛИЙ ИОНОВ",""
"AIRI ALLVEE & AFTER ALL","KALLE RAUDMETS",""
"AIRI OJAMETS & SNAKE","AIRI VIPULKUMAR KANSAR",""
"AIRIJA","ASTA MILERIENĖ",""
"AIRIJA","MEČISLOVAS LITVINSKIS",""
"AIRIJA","DARIUS MILERIS","https://lt.wikipedia.org/wiki/Darius_Mileris"
"AJASTU","HENRY LEPPNURM",""
"AJAVARESE","AHTO ABNER",""
"AJUTINE VALITSUS","ALLAN ANNUS",""
"AJUTINE VALITSUS","ART FREY",""
"AJUTINE VALITSUS","TOOMAS KELDER","https://et.wikipedia.org/wiki/Toomas_Kelder"
"AJUTINE VALITSUS","KALEV PLINK",""
"AJUTINE VALITSUS","PEEP MÄNNIL",""
"AJUTINE VALITSUS","HERK HAUG",""
"AKADO","STINGER",""
"AKADO","ГРИГОРИЙ АРХИПОВ",""
"AKADO","DJ KATRIN",""
"AKADO","АЛЕКСАНДР ЛАГУТИН",""
"AKADO","ИГОРЬ ЛИКАРЕНКО",""
"AKADO","НИКОЛАЙ ЗАГОРУЙКО",""
"AKADO","ВАСИЛИЙ ГОРШКОВ",""
"AKADO","ДМИТРИЙ ЮГАЙ",""
"AKADO","АРТЕМ КОЗЛОВ",""
"AKADO","АЛЕКСАНДР ГРЕЧУШКИН",""
"AKADO","НИКИТА ШАТЕНЕВ",""
"AKCENTS","INDRS KARLSONIS",""
"AKEN","ANDRUS KERSTENBECK",""
"AKOMAN","DLL",""
"AKUTE","СТАС МЫТНИК",""
"AKUTE","РОМАН ЖИГАРЕВ",""
"AKUTE","ПАВЕЛ ЕМЕЛЬЯНОВ",""
"AKUTE","ПАВЕЛ ФИЛАТОВ",""
